,p_spot,p_place_type,datetime,b_number,trip,p_uid,p_bikes,p_lat,b_bike_type,p_name,p_number,p_lng,p_bike
0,True,0,20/01/2019 00:00,52073,first,7314560,1,51.506613,4,FH-Dortmund Sonnenstraï¿½,7374,7.455587,False
1,True,0,20/01/2019 23:59,52073,last,7314560,1,51.506613,4,FH-Dortmund Sonnenstraï¿½,7374,7.455587,False
2,True,0,20/01/2019 00:00,52331,first,113573,2,51.49269008,4,Universitï¿½ï¿½ï¿½ï¿½ï,7362,7.417632937,False
3,True,0,20/01/2019 23:59,52331,last,113573,4,51.49269008,4,Universitï¿½ï¿½ï¿½ï¿½ï,7362,7.417632937,False
4,True,0,20/01/2019 00:00,31346,first,113543,3,51.52335065,4,Brackel Kirche,7337,7.546867132,False
5,True,0,20/01/2019 23:59,31346,last,113543,4,51.52335065,4,Brackel Kirche,7337,7.546867132,False
6,True,0,20/01/2019 00:00,50641,first,113561,5,51.50631176,4,Hainallee / Sï¿½ï¿½,7351,7.470531464,False
7,True,0,20/01/2019 16:22,50641,start,113561,5,51.50631176,4,Hainallee / Sï¿½ï¿½,7351,7.470531464,False
8,True,0,20/01/2019 17:00,50641,end,6260019,1,51.49396593,4,TU Dortmund Emil-Figge-Straï¿½ï¿½,7367,7.418008447,False
9,True,0,20/01/2019 23:59,50641,last,6260019,1,51.49396593,4,TU Dortmund Emil-Figge-Straï¿½ï¿½,7367,7.418008447,False
10,True,0,20/01/2019 00:00,53801,first,50383,3,51.51377707,14,Westentor,7319,7.455849051,False
11,True,0,20/01/2019 03:39,53801,last,50383,3,51.51377707,14,Westentor,7319,7.455849051,False
12,True,0,20/01/2019 00:45,50425,first,50370,5,51.51715543,5,Hauptbahnhof/Bahnhofsvorplatz,7306,7.459931374,False
13,True,0,20/01/2019 02:31,50425,start,50370,5,51.51715543,5,Hauptbahnhof/Bahnhofsvorplatz,7306,7.459931374,False
14,True,0,20/01/2019 02:43,50425,end,50382,3,51.51306932,5,Unionstr.,7318,7.448886037,False
15,True,0,20/01/2019 02:52,50425,last,50382,3,51.51306932,5,Unionstr.,7318,7.448886037,False
16,True,0,20/01/2019 00:00,90697,first,113544,5,51.52001281,4,Heiligegartenstr.,7338,7.464501858,False
17,True,0,20/01/2019 18:12,90697,last,113544,5,51.52001281,4,Heiligegartenstr.,7338,7.464501858,False
18,True,0,20/01/2019 00:00,53006,first,113567,4,51.50955712,5,Ritterhausstr.,7358,7.446949482,False
19,True,0,20/01/2019 11:32,53006,start,113567,2,51.50955712,5,Ritterhausstr.,7358,7.446949482,False
20,True,0,20/01/2019 13:33,53006,end,50370,5,51.51715543,5,Hauptbahnhof/Bahnhofsvorplatz,7306,7.459931374,False
21,True,0,20/01/2019 14:38,53006,start,50370,5,51.51715543,5,Hauptbahnhof/Bahnhofsvorplatz,7306,7.459931374,False
22,True,0,20/01/2019 14:53,53006,end,113559,1,51.50072532,5,Polizeiprï¿½ï¿½ï¿,7350,7.459818721,False
23,True,0,20/01/2019 17:02,53006,start,113559,1,51.50072532,5,Polizeiprï¿½ï¿½ï¿,7350,7.459818721,False
24,True,0,20/01/2019 17:16,53006,end,50375,2,51.51402865,5,Schwanenwall,7311,7.472570285,False
25,True,0,20/01/2019 23:59,53006,last,50375,3,51.51402865,5,Schwanenwall,7311,7.472570285,False
26,True,0,20/01/2019 22:10,90345,first,50382,2,51.51306932,4,Unionstr.,7318,7.448886037,False
27,True,0,20/01/2019 23:30,90345,start,50382,2,51.51306932,4,Unionstr.,7318,7.448886037,False
28,True,0,20/01/2019 23:39,90345,end,50366,2,51.51290908,4,Wittener Str. / Wilhelmplatz,7302,7.423313856,False
29,True,0,20/01/2019 23:59,90345,last,50366,2,51.51290908,4,Wittener Str. / Wilhelmplatz,7302,7.423313856,False
30,True,0,20/01/2019 00:00,51130,first,113551,5,51.52395144,5,Borsigplatz / Oesterholzstr.,7341,7.48190403,False
31,True,0,20/01/2019 23:59,51130,last,113551,4,51.52395144,5,Borsigplatz / Oesterholzstr.,7341,7.48190403,False
32,True,0,20/01/2019 00:00,53705,first,113562,5,51.4883713,14,Hï¿½ï¿½ï¿½ï¿½ï,7352,7.49909699,False
33,True,0,20/01/2019 23:59,53705,last,113562,5,51.4883713,14,Hï¿½ï¿½ï¿½ï¿½ï,7352,7.49909699,False
34,True,0,20/01/2019 00:00,53393,first,113567,4,51.50955712,14,Ritterhausstr.,7358,7.446949482,False
35,True,0,20/01/2019 08:54,53393,start,113567,3,51.50955712,14,Ritterhausstr.,7358,7.446949482,False
36,True,0,20/01/2019 18:52,53393,end,50379,2,51.51031077,14,Hiltropwall,7315,7.462237048,False
